2	"" 	 none 0 0 0 0 0 0 0 0 0 0 		
3	""	 none 0 0 0 0 0 0 0 0 0 0 		
4	"" 			100
5	"" 	 none 0 0 0 0 0 0 0 0 0 0 		
6	""	 none 0 0 0 0 0 0 0 0 0 0 		
7	"" 			99.99411259
8	"" 	none 0 0 0 0 0 0 0 0 0 0 		
9	""	 none 0 0 0 0 0 0 0 0 0 0 		
10	"" 			100
11	"" 	 none 0 0 0 0 0 0 0 0 0 0 		
12	""	 none 0 0 0 0 0 0 0 0 0 0 		
13	"" 			100
14	"" 	 none 0 0 0 0 0 0 0 0 0 0 		
15	""	 none 0 0 0 0 0 0 0 0 0 0 		
16	"" 			99.99779085
17	"" 	 none 0 0 0 0 0 0 0 0 0 0 		
18	"" 	 none 0 0 0 0 0 0 0 0 0 0 		
19	"" 			99.99940515
20	""	 none 0 0 0 0 0 0 0 0 0 0 		
21	"" 	 none 0 0 0 0 0 0 0 0 0 0 		
22	"" 			99.98491417
23	""	 none 0 0 0 0 0 0 0 0 0 0 		
24	""	 none 0 0 0 0 0 0 0 0 0 0 		
25	"" 			99.81581297
26	"" 	none 0 0 0 0 0 0 0 0 0 0 		
27	""	none 0 0 0 0 0 0 0 0 0 0 		
28	"" 			99.33566705
29	"" 	 none 0 0 0 0 0 0 0 0 0 0 		
30	""	 none 0 0 0 0 0 0 0 0 0 0 		
31	"" 			98.17032658
32	"" 	 none 0 0 0 0 0 0 0 0 0 0 		
33	""	 none 0 0 0 0 0 0 0 0 0 0 		
34	"" 			97.09364293
35	"" 	 none 0 0 0 0 0 0 0 0 0 0 		
36	""	 none 0 0 0 0 0 0 0 0 0 0 		
37	"" 			79.54154085
38	"" 	 none 0 0 0 0 0 0 0 0 0 0 		
39	""	 none 0 0 0 0 0 0 0 0 0 0 		
40	"" 			84.63505381
41	"" 	none 0 0 0 0 0 0 0 0 0 0 		
42	"" 	none 0 0 0 0 0 0 0 0 0 0 		
43	"" 			62.24777069
44	""	 none 0 0 0 0 0 0 0 0 0 0 		
45	"" 	 none 0 0 0 0 0 0 0 0 0 0 		
46	"" 			53.44306985
47	""	 none 0 0 0 0 0 0 0 0 0 0 		
48	""	 none 0 0 0 0 0 0 0 0 0 0 		
49	"" 			46.2109094
50	"" 	 none 0 0 0 0 0 0 0 0 0 0 		
51	""	 none 0 0 0 0 0 0 0 0 0 0 		
52	"" 			37.4724822
53	"" 	 none 0 0 0 0 0 0 0 0 0 0 		
54	""	 none 0 0 0 0 0 0 0 0 0 0 		
55	"" 			30.54626465
56	"" 	 none 0 0 0 0 0 0 0 0 0 0 		
57	""	 none 0 0 0 0 0 0 0 0 0 0 		
58	"" 			20.99809832
59	"" 	none 0 0 0 0 0 0 0 0 0 0 		
60	""	none 0 0 0 0 0 0 0 0 0 0 		
61	"" 			15.97972138
