1	99.04
2	none
3	0.64
4	none
5	0
6	none
7	0
8	none
9	0
10	none
11	0.053333
12	none
13	0.16
14	none
15	0.106666667
16	none
17	0
18	none
19	0
1	88.90666667
2	none
3	6.453333333
4	none
5	2.773333333
6	none
7	1.226666667
8	none
9	0.106666667
10	none
11	0.106666667
12	none
13	0.106666667
14	none
15	0.106666667
16	none
17	0.213333333
18	none
19	0
1	72.74666667
2	none
3	19.73333333
4	none
5	4.32
6	none
7	1.813333333
8	none
9	0.693333333
10	none
11	0.266666667
12	none
13	0.213333333
14	none
15	0.106666667
16	none
17	0
18	none
19	0.106666667
